a,b,n,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_q_bh,spearman_q_bh
omron_hr_bpm,ppg_pulse_bpm,52,0.9059911411580105,2.6521375146174895e-20,0.9079638118458901,1.5983511970805728e-20,1.6481140269408685e-18,9.932611010429272e-19
env_temperature_C,env_humidity_pct,52,-0.8862460106534771,2.452449571399155e-18,-0.898221846855017,1.7577620088678157e-19,1.1853506261762582e-16,9.557830923218748e-18
omron_sbp_mmHg,omron_dbp_mmHg,52,0.8396435524290158,7.383489084163288e-15,0.8469515917409183,2.5194158785901196e-15,2.676514793009192e-13,1.217717674651891e-13
env_humidity_pct,body_temperature_C,52,0.6796115205760046,3.026285726967296e-08,0.7399701274131215,3.66048888250296e-10,6.582171456153868e-07,8.846181466048819e-09
env_temperature_C,body_temperature_C,52,-0.7132051024136463,2.9775035854590644e-09,-0.6969131362152602,9.535074031682752e-09,7.618906233380548e-08,1.975122477991427e-07
omron_hr_bpm,samsung_stress_ordinal,49,0.6069795234611545,3.7697641548047716e-06,0.5927076961069568,7.221599565985051e-06,6.012809728389215e-05,0.00011634799300753693
ppg_pulse_bpm,samsung_stress_ordinal,49,0.5538956396939774,3.6487017236030614e-05,0.5880548038837113,8.867189209591124e-06,0.00048096522720222174,0.0001377581180775764
env_pressure_hPa,pm2_5,49,0.3875497589720765,0.0059369872121863955,0.5543397867406358,3.585743425335416e-05,0.03354012256235171,0.0004726661787942139
coffee_flag,hour_decimal_local,52,-0.5576355745824106,1.7505392251202747e-05,-0.5312130837478902,5.0828132802270864e-05,0.00025382818764243983,0.0006141732713607729
env_humidity_pct,env_pressure_hPa,52,-0.5915577399131522,3.87031430792869e-06,-0.5222377279087876,7.157230164637819e-05,6.012809728389215e-05,0.0008414581409776895
env_pressure_hPa,body_temperature_C,52,-0.47321802801406077,0.0003956712811935695,-0.509981699220407,0.00011248432785312287,0.003824822384871172,0.0012232670654027111
omron_dbp_mmHg,steps_daily,52,0.49873328349433543,0.00016781648866785615,0.48896816952458905,0.00023488285575172464,0.001871799296679934,0.0022705342722666717
env_temperature_C,coffee_flag,52,-0.4366975756576286,0.0012092369880281506,-0.4750021370711703,0.0003734426151227564,0.009924869618721613,0.0033843236995499803
env_humidity_pct,ppg_spo2_pct,52,0.493263218895533,0.00020284680037485912,0.46855968562858286,0.0004594712757485424,0.0021009132895967553,0.004078979692869713
env_humidity_pct,pm2_5,49,-0.32353554098434545,0.023350308864104698,-0.46084076951299624,0.0008613889142874828,0.09582438071590135,0.0069389662539824995
env_pressure_hPa,ppg_spo2_pct,52,-0.46372010258602164,0.0005354753070887731,-0.457439934528955,0.0006509740072893678,0.004852744970492006,0.00544564794559375
samsung_stress_ordinal,smoking_flag,49,-0.46617252286075606,0.0007356571598016038,-0.4338576184109963,0.0018431433618031927,0.006459913169910375,0.012147990339157406
env_humidity_pct,coffee_flag,52,0.4228238676542026,0.0017914294719573718,0.42865135716924346,0.0015218632390464476,0.013207996954261978,0.010508103317225473
omron_dbp_mmHg,smoking_flag,52,0.40233133558936507,0.003108633734476801,0.4255622287221638,0.001659872146179694,0.019597908326049397,0.011134355239216747
omron_sbp_mmHg,steps_daily,52,0.44895068233488966,0.0008427214948378463,0.40925732728510844,0.00259013958702333,0.007049689427970445,0.016095867433644977
omron_sbp_mmHg,smoking_flag,52,0.3928221204031494,0.003969167512067031,0.4059118946461537,0.002830145196906917,0.023460286842080832,0.016864563844582313
env_temperature_C,env_pressure_hPa,52,0.35541595219944894,0.009719135287217606,0.39051228281675154,0.004207462172996652,0.05093763674626095,0.02473305466558843
env_temperature_C,ppg_spo2_pct,52,-0.39446725125528875,0.0038067709258516793,-0.375403901513306,0.006099988629692584,0.0229992410103539,0.03358854498628195
omron_sbp_mmHg,env_pressure_hPa,52,0.32074044026043763,0.020433699320439272,0.3662672390283346,0.0075742083058689515,0.08546787696529888,0.04018025137869505
omron_dbp_mmHg,env_pressure_hPa,52,0.3514082943283081,0.010634545950308626,0.36399108099111477,0.007986407050132148,0.05256849418618468,0.04185647068442752
